sr-cy,rs,pc105,,
sv-latin1,se,pc105,,
cf,ca(fr),pc105,,
fr_CH-latin1,ch,pc105,fr,
fr-latin9,fr,pc105,latin9,
dev,"dev,us",pc105,,"grp:shifts_toggle,grp_led:scroll"
sk-qwerty,sk,pc105,,qwerty
et,ee,pc105,,
ar-qwerty-digits,"ara,us",pc105,qwerty_digits,"grp:shifts_toggle,grp_led:scroll"
ar-azerty,"ara,us",pc105,azerty,"grp:shifts_toggle,grp_led:scroll"
ie,ie,pc105,,
ro-cedilla,ro,pc105,cedilla,
es,es,pc105,,
pl2,pl,pc105,,
cz-lat2,cz,pc105,qwerty,
ru,"ru,us",pc105,,"grp:shifts_toggle,grp_led:scroll"
dvorak,us,pc105,dvorak,
bg_bds-utf8,"bg,us",pc105,,"grp:shifts_toggle,grp_led:scroll"
no,no,pc105,,
de-latin1-nodeadkeys,de,pc105,nodeadkeys,
ben,"in,us",pc105,ben,"grp:shifts_toggle,grp_led:scroll"
ar-azerty-digits,"ara,us",pc105,azerty_digits,"grp:shifts_toggle,grp_led:scroll"
ar-qwerty,"ara,us",pc105,qwerty,"grp:shifts_toggle,grp_led:scroll"
tj,tj,pc105,,
ro-std-cedilla,ro,pc105,std_cedilla,
pt-latin1,pt,pc105,,
us-acentos,us,pc105,intl,
ro,ro,pc105,,
br-abnt2,br,abnt2,,
ar-digits,"ara,us",pc105,digits,"grp:shifts_toggle,grp_led:scroll"
cz-us-qwertz,"cz,us",pc105,,"grp:shifts_toggle,grp_led:scroll"
it-ibm,it,pc105,,
bg_pho-utf8,"bg,us",pc105,",phonetic","grp:shifts_toggle,grp_led:scroll"
fr-pc,fr,pc105,,
dk,dk,pc105,,
be-latin1,be,pc105,,
sg-latin1,ch,pc105,de_nodeadkeys,
fr-latin1,fr,pc105,,
ua-utf,"ua,us",pc105,,"grp:shifts_toggle,grp_led:scroll"
tml-uni,"in,us",pc105,tam_TAB,"grp:shifts_toggle,grp_led:scroll"
it,it,pc105,,
fr,fr,pc105,,
dk-latin1,dk,pc105,,
fr_CH,ch,pc105,fr,
fi,fi,pc105,,
sr-latin,rs,pc105,latin,
hu,hu,pc105,,
it2,it,pc105,,
fi-latin1,fi,pc105,,
ben-probhat,"in,us",pc105,ben_probhat,"grp:shifts_toggle,grp_led:scroll"
croat,hr,pc105,,
jp106,jp,jp106,,
hu101,hu,pc105,qwerty,
slovene,si,pc105,,
tml-inscript,"in,us",pc105,tam,"grp:shifts_toggle,grp_led:scroll"
de-latin1,de,pc105,,
ro-std,ro,pc105,std,
ko,kr,pc105,,
us,us,pc105+inet,,
la-latin1,latam,pc105,,
gur,"gur,us",pc105,,"grp:shifts_toggle,grp_led:scroll"
de,de,pc105,,
is-latin1,is,pc105,,
uk,gb,pc105,,
guj,"in,us",pc105,guj,"grp:shifts_toggle,grp_led:scroll"
trq,tr,pc105,,
mk-utf,"mkd,us",pc105,,"grp:shifts_toggle,grp_led:scroll"
nl,nl,pc105,,
sg,ch,pc105,de_nodeadkeys,
